suburb,postcode,listing_count
HIGHETT,3190,13
SEABROOK,3028,12
CANTERBURY,3126,12
WESTMEADOWS,3049,12
ALFREDTON,3350,12
BELL POST HILL,3215,12
KEILOR EAST,3033,12
KINGSVILLE,3012,12
WAURN PONDS,3216,12
WONTHAGGI,3995,12
MALLACOOTA,3892,12
MCKINNON,3204,12
OAKLEIGH,3166,12
PATTERSON LAKES,3197,12
LYNBROOK,3975,12
TULLAMARINE,3043,12
VERMONT SOUTH,3133,12
BACCHUS MARSH,3340,11
FAIRFIELD,3078,11
HASTINGS,3915,11
CAULFIELD EAST,3145,11
CAULFIELD SOUTH,3162,11
RINGWOOD EAST,3135,11
WANGARATTA,3677,11
TRAVANCORE,3032,11
BLACK ROCK,3193,11
MACLEOD,3085,11
BELL PARK,3215,11
LANGWARRIN,3910,11
PORTARLINGTON,3223,11
VERMONT,3133,11
DELAHEY,3037,10
MONT ALBERT,3127,10
CAULFIELD,3162,10
ARARAT,3377,10
BALLARAT NORTH,3350,10
NEWBOROUGH,3825,10
HALLAM,3803,10
KEILOR DOWNS,3038,10
KNOXFIELD,3180,10
PARKDALE,3195,10
DAYLESFORD,3460,10
MORDIALLOC,3195,10
EAGLEMONT,3084,10
CHURCHILL,3842,10
VIEWBANK,3084,10
TOOTGAROOK,3941,9
HERNE HILL,3218,9
BEACONSFIELD,3807,9
DONVALE,3111,9
IRYMPLE,3498,9
SPRINGVALE SOUTH,3172,9
CARRUM,3197,9
HAMILTON,3300,9
RED CLIFFS,3496,9
WHITE HILLS,3550,9
ST LEONARDS,3223,9
GLADSTONE PARK,3043,9
ASHWOOD,3147,9
ELTHAM,3095,9
EAST GEELONG,3219,9
COBURG NORTH,3058,8
TAYLORS LAKES,3038,8
CLARINDA,3169,8
BLACKBURN SOUTH,3130,8
CALIFORNIA GULLY,3556,8
MOUNT ELIZA,3930,8
WHITTINGTON,3219,8
REDAN,3350,8
SORRENTO,3943,8
SAN REMO,3925,8
MOORABBIN,3189,8
COLAC,3250,8
DALLAS,3047,8
PASCOE VALE SOUTH,3044,8
EDITHVALE,3196,8
CHIRNSIDE PARK,3116,7
CURLEWIS,3222,7
IVANHOE EAST,3079,7
LYNDHURST,3975,7
PORTLAND,3305,7
HEATHMONT,3135,7
DELACOMBE,3356,7
NIDDRIE,3042,7
CANADIAN,3350,7
COOLAROO,3048,7
SCORESBY,3179,7
COBRAM,3644,7
ST ALBANS PARK,3219,7
STRATHFIELDSAYE,3551,7
SWAN HILL,3585,7
GISBORNE,3437,7
GOLDEN POINT,3350,7
WOODSTOCK,3751,7
BROWN HILL,3350,7
BARWON HEADS,3227,7
BAYSWATER NORTH,3153,7
GLEN HUNTLY,3163,6
CROYDON SOUTH,3136,6
BARANDUDA,3691,6
EAGLEHAWK,3556,6
ARDEER,3022,6
ASHBURTON,3147,6
BLAIRGOWRIE,3942,6
DRYSDALE,3222,6
LAKES ENTRANCE,3909,6
KOOYONG,3144,6
ALBERT PARK,3206,6
KEW EAST,3102,6
CAMPBELLFIELD,3061,6
HAMLYN HEIGHTS,3215,6
NORTH GEELONG,3215,6
SOUTH KINGSVILLE,3015,6
SEYMOUR,3660,6
MONT ALBERT NORTH,3129,6
CLIFTON SPRINGS,3222,6
BEECHWORTH,3747,6
MOUNT CLEAR,3350,6
NOTTING HILL,3168,6
MOUNT PLEASANT,3350,6
DALYSTON,3992,6
PAYNESVILLE,3880,6
MANSFIELD,3722,6
MANIFOLD HEIGHTS,3218,6
MORTLAKE,3272,6
LENEVA,3691,5
JACANA,3047,5
KILSYTH,3137,5
ASPENDALE,3195,5
KIALLA,3631,5
KILMORE,3764,5
NOBLE PARK NORTH,3174,5
CREMORNE,3121,5
KINGS PARK,3021,5
MARYBOROUGH,3465,5
HEATHERTON,3202,5
DINGLEY VILLAGE,3172,5
ALBANVALE,3021,5
CAIRNLEA,3023,5
CASTLEMAINE,3450,5
ABERFELDIE,3040,5
POINT LONSDALE,3225,5
KOO WEE RUP,3981,5
MARSHALL,3216,5
BRIAR HILL,3088,5
MYRTLEFORD,3737,5
ALEXANDRA,3714,5
STRATFORD,3862,5
TATURA,3616,4
CRANBOURNE SOUTH,3977,4
NUMURKAH,3636,4
EPSOM,3551,4
KEILOR,3036,4
WATSONIA,3087,4
WHITTLESEA,3757,4
BALNARRING,3926,4
BANNOCKBURN,3331,4
STAWELL,3380,4
STRATHDALE,3550,4
METUNG,3904,4
MIDDLE PARK,3206,4
MALDON,3463,4
RINGWOOD NORTH,3134,4
RIPPONLEA,3185,4
BROOKLYN,3012,4
SOMERVILLE,3912,4
SKYE,3977,4
SMYTHES CREEK,3351,4
CAPE WOOLAMAI,3925,4
CROYDON NORTH,3136,4
JAN JUC,3228,4
LONG GULLY,3550,4
MAIDEN GULLY,3551,4
LEONGATHA,3953,4
TRAFALGAR,3824,4
KORUMBURRA,3950,4
SEAHOLME,3018,4
WOODEND,3442,3
ST KILDA WEST,3182,3
WARRANDYTE,3113,3
CHELSEA HEIGHTS,3196,3
PORTSEA,3944,3
SPRING GULLY,3550,3
BONNIE DOON,3720,3
SHOREHAM,3916,3
MOUNT EVELYN,3796,3
BURNSIDE,3023,3
OUYEN,3490,3
MERBEIN,3505,3
PETERBOROUGH,3270,3
ORBOST,3888,3
CAMPERDOWN,3260,3
HURSTBRIDGE,3099,3
INVERLOCH,3996,3
MONTMORENCY,3094,3
YARRAGON,3823,3
YARRAMBAT,3091,3
CRESWICK,3363,3
QUEENSCLIFF,3225,3
COBDEN,3266,3
MAFFRA,3860,3
LANCEFIELD,3435,3
LANG LANG,3984,3
HUNTINGDALE,3166,3
KEALBA,3021,3
LORNE,3232,3
KERANG,3579,3
FALLS CREEK,3699,3
FINGAL,3939,3
OMEO,3898,3
NYORA,3987,3
BITTERN,3918,3
BLACK HILL,3350,3
KYNETON,3444,3
TAWONGA SOUTH,3698,3
YEA,3717,2
BEAUFORT,3373,2
WARRANWOOD,3134,2
ARTHURS SEAT,3936,2
ASPENDALE GARDENS,3195,2
EDENHOPE,3318,2
EILDON,3713,2
NHILL,3418,2
NICHOLS POINT,3501,2
CORINELLA,3984,2
FLINDERS,3929,2
FOSTER,3960,2
SASSAFRAS,3787,2
CROYDON HILLS,3136,2
NORTH SHORE,3214,2
DINNER PLAIN,3898,2
EAGLE POINT,3878,2
CAPE PATERSON,3995,2
RIDDELLS CREEK,3431,2
MUCKLEFORD SOUTH,3462,2
NAGAMBIE,3608,2
MOUNT COTTRELL,3024,2
Coimadai,3340,2
DANDENONG SOUTH,3175,2
DENNINGTON,3280,2
PENSHURST,3289,2
GARDENVALE,3185,2
SOMERS,3927,2
BOTANIC RIDGE,3977,2
POREPUNKAH,3740,2
PORT FAIRY,3284,2
PORT WELSHPOOL,3965,2
YALLAMBIE,3085,2
HEATHCOTE,3523,2
MCCRAE,3938,2
MONBULK,3793,2
UPPER FERNTREE GULLY,3156,2
VINIFERA,3591,2
WAHGUNYAH,3687,2
WANDANA HEIGHTS,3216,2
LETHBRIDGE,3332,2
INVERMAY,3352,2
MONTROSE,3765,2
LEMNOS,3631,2
JEPARIT,3423,2
LOCH SPORT,3851,2
LONGWARRY,3816,2
TYABB,3913,2
TYNONG,3813,2
WY YUNG,3875,2
BUNINYONG,3357,2
BURNLEY,3121,2
TERANG,3264,2
ST ANDREWS BEACH,3941,2
STRATHMERTON,3641,2
BUNDALONG,3730,2
WINCHELSEA,3241,2
WONGA PARK,3115,2
YELLINGBO,3139,1
ARTHURS CREEK,3099,1
ATTWOOD,3049,1
AXEDALE,3551,1
BADDAGINNIE,3670,1
BUNYIP,3815,1
ST ANDREWS,3761,1
ST JAMES,3727,1
STRATHMORE HEIGHTS,3041,1
TABILK,3607,1
TAGGERTY,3714,1
TALLANGATTA,3700,1
THE PATCH,3792,1
BOGONG,3699,1
BOISDALE,3860,1
THORPDALE,3835,1
TONGALA,3621,1
TONIMBUK,3815,1
TOOLERN VALE,3337,1
TOORA,3962,1
TOORADIN,3980,1
TRENTHAM,3458,1
TYLDEN,3444,1
UNDERBOOL,3509,1
UPPER PLENTY,3756,1
UPWEY,3158,1
WALKERVILLE,3956,1
WANDIN NORTH,3139,1
YACKANDANDAH,3749,1
YANAKIE,3960,1
YARRA GLEN,3775,1
OVENS,3738,1
PAKENHAM UPPER,3810,1
PANTON HILL,3759,1
PARADISE BEACH,3851,1
PARK ORCHARDS,3114,1
PARWAN,3340,1
PORT ALBERT,3971,1
DARRAWEIT GUIM,3756,1
DEVON MEADOWS,3977,1
DIAMOND CREEK,3089,1
DONALD,3480,1
CLARKEFIELD,3430,1
HALLS GAP,3381,1
NELSON,3292,1
NEUARPURR,3413,1
NEW GISBORNE,3438,1
NEWBURY,3458,1
NEWLANDS ARM,3875,1
NEWMERELLA,3886,1
NILMA,3821,1
NOORAT,3265,1
NORTH WARRANDYTE,3113,1
EPPALOCK,3551,1
ESSENDON WEST,3040,1
FERNY CREEK,3786,1
FORREST,3236,1
OLINDA,3788,1
COCKATOO,3781,1
COLDSTREAM,3770,1
CONNEWARRE,3227,1
CORONET BAY,3984,1
PRINCES HILL,3054,1
PRINCETOWN,3269,1
RED HILL SOUTH,3937,1
ROBINVALE,3549,1
ROMSEY,3434,1
ROSS CREEK,3351,1
Rowville,3178,1
BURRUMBEET,3352,1
BUSHFIELD,3281,1
CAMBRIAN HILL,3352,1
MOUNT BEAUTY,3699,1
MOUNT BULLER,3723,1
MOUNT EGERTON,3352,1
MOUNT HELEN,3350,1
MUCKLEFORD,3451,1
MURCHISON,3610,1
MURTOA,3390,1
NAR NAR GOON,3812,1
NARRE WARREN NORTH,3804,1
NAVIGATORS,3352,1
GARFIELD,3814,1
GEMBROOK,3783,1
GLENGARRY,3854,1
GLENTHOMPSON,3293,1
GNARWARRE,3221,1
GOBUR,3719,1
GOORAMBAT,3725,1
GOORNONG,3557,1
GORDON,3345,1
GOWANBRAE,3043,1
GRANTVILLE,3984,1
GRUYERE,3770,1
CARDROSS,3496,1
CHEWTON,3451,1
SEASPRAY,3851,1
SEVILLE,3139,1
SHELFORD,3329,1
SHEPPARTON EAST,3631,1
SILVAN,3795,1
SMEATON,3364,1
SNAKE VALLEY,3351,1
SOUTH DUDLEY,3995,1
BOOLARRA,3870,1
BOORHAMAN NORTH,3685,1
BOORT,3537,1
BREAKWATER,3219,1
BRIGHT,3741,1
BROADFORD,3658,1
KINGLAKE,3763,1
MANDURANG,3551,1
MERRIJIG,3723,1
MIRBOO NORTH,3871,1
HARRIETVILLE,3741,1
HAWKESDALE,3287,1
HEALESVILLE,3777,1
HEPBURN SPRINGS,3461,1
HIDDEN VALLEY,3756,1
HODDLES CREEK,3139,1
INDENTED HEAD,3223,1
LAKE WENDOUREE,3350,1
LISMORE,3324,1
Irymple,3498,1
JAM JERRUP,3984,1
JAMIESON,3723,1
KALORAMA,3766,1
KATANDRA,3634,1
KERGUNYAH,3691,1
KILCUNDA,3995,1
BRUTHEN,3885,1
BUCHAN,3885,1
BUCKLEY,3240,1
BASS,3991,1
BAXTER,3911,1
BELGRAVE,3160,1
BELLBRAE,3228,1
BIRREGURRA,3242,1
YARROWEYAH,3644,1
ALLANSFORD,3277,1
BARONGAROOK,3249,1
WARRACKNABEAL,3393,1
WHOROULY,3735,1
WOORINEN,3589,1
WUNGHNU,3635,1
KOROIT,3282,1
KYABRAM,3620,1
LABERTOUCHE,3816,1
BLACKWOOD,3458,1
